2048,1514
1928,2463
1689,2494
1532,2495
1503,2478
1496,2433
1497,2384
1506,2326
1537,2268
1586,2188
1658,2137
1765,2053
1912,1949
2078,1828
2256,1713
2423,1625
2540,1557
2560,1497
2571,1528
2575,1578
2579,1659
2582,1767
2561,1890
2534,2036
2465,2163
2360,2286
2208,2378
2005,2448
1775,2482
1567,2503
1510,2491
1498,2453
1498,2409
1503,2356
1525,2298
1559,2234
1619,2173
1725,2094
1850,1991
2011,1878
2187,1759
2367,1661
2510,1578
2562,1533
2565,1523
2578,1562
2582,1631
2583,1728
2568,1849
2544,1968
2498,2129
2414,2247
2274,2349
2093,2430
1869,2472
1639,2502
1524,2505
1507,2471
1497,2429
1503,2376
1520,2314
1544,2252
1603,2210
1687,2123
1798,2041
1946,1919
2123,1811
2298,1696
2466,1606
2549,1544
2571,1526
2579,1542
2581,1597
2580,1692
2579,1803
2563,1933
2522,2069
2448,2203
2330,2313
2161,2404
1956,2465
1720,2499
1545,2508
1511,2486
1501,2451
1494,2399
1509,2343
1532,2278
1581,2220
1647,2154
1752,2069
1893,1966
2050,1845
2228,1732
2401,1634
2530,1562
2563,1530
2567,1529
2580,1570
2575,1646
2577,1748
2567,1874
2533,2008
2485,2150
2379,2267
2225,2358
2040,2439
1808,2479
1591,2501
1515,2492
1499,2462
1494,2408
1503,2366
1514,2299
1560,2240
1614,2171
1706,2099
1825,2005
1992,1887
2165,1774
2341,1670
2496,1584
2547,1527
2568,1516
2565,1543
2581,1613
2580,1705
2573,1823
2552,1953
2505,2097
2415,2215
2290,2330
2113,2414
1902,2467
1660,2499
1526,2491
1501,2473
1503,2431
1490,2377
1505,2321
1538,2260
1593,2202
1672,2128
1772,2040
1917,1926
2089,1806
2265,1705
2436,1612
2542,1542
2563,1511
2576,1530
2576,1572
2576,1667
2577,1777
2558,1903
2526,2043
2458,2173
2341,2290
2184,2381
1986,2451
1756,2489
1559,2496
1511,2481
1496,2446
1498,2397
1505,2344
1526,2281
1565,2221
1634,2153
1730,2075
1867,1981
2026,1857
2206,1738
2372,1643
2520,1568
2554,1524
2572,1529
2578,1566
2576,1629
2578,1734
2568,1860
2542,1994
2489,2133
2393,2251
2252,2355
2064,2433
1844,2483
1613,2503
1521,2497
1503,2473
1493,2423
1503,2371
1515,2310
1552,2255
1609,2187
1694,2117
1815,2023
1969,1916
2142,1791
2318,1689
2476,1595
2552,1541
2568,1524
2574,1542
2583,1605
2582,1698
2576,1811
2561,1942
2514,2086
2437,2205
2320,2327
2142,2403
1930,2469
1697,2498
1542,2502
1516,2485
1497,2442
1503,2392
1518,2336
1532,2269
1586,2223
1645,2146
1767,2058
1903,1951
2081,1842
2252,1727
2419,1628
2541,1553
2566,1525
2570,1534
2583,1583
2580,1659
2579,1767
2563,1893
2531,2031
2473,2170
2366,2282
2217,2383
2013,2452
1785,2491
1567,2506
1515,2494
1501,2458
1498,2411
1510,2360
1527,2304
1561,2244
1617,2165
1730,2101
1850,1992
2013,1885
2181,1765
2352,1654
2515,1583
2555,1532
2563,1517
2572,1554
2582,1625
2574,1714
2569,1832
2542,1996
2503,2117
2411,2238
2278,2344
2094,2426
1879,2475
1641,2493
1523,2491
1505,2467
1498,2426
1501,2375
1517,2315
1539,2254
1599,2191
1678,2122
1795,2033
1943,1923
2112,1804
2293,1693
2454,1604
2547,1542
2565,1513
2575,1533
2578,1586
2582,1677
2571,1790
2559,1918
2522,2058
2452,2197
2326,2304
2165,2390
1963,2455
1726,2492
1546,2498
1503,2482
1503,2448
1503,2393
1503,2330
1532,2273
1577,2212
1637,2142
1749,2068
1882,1955
2045,1848
2223,1733
2391,1624
2523,1552
2550,1518
2561,1518
2568,1551
2580,1637
2573,1736
2570,1860
2538,2005
2481,2151
2374,2253
2232,2357
2044,2435
1811,2479
1593,2495
1514,2488
1502,2460
1494,2411
1499,2357
1520,2298
1553,2238
1611,2172
1704,2102
1827,2003
1981,1891
2157,1776
2337,1672
2493,1583
2551,1532
2563,1516
2575,1545
2588,1622
2579,1703
2569,1821
2553,1955
2508,2101
2428,2224
2293,2326
2113,2410
1903,2468
1674,2504
1529,2495
1498,2474
1497,2437
1496,2381
1512,2351
1543,2266
1588,2205
1663,2138
1781,2048
1927,1944
2095,1826
2274,1720
2435,1620
2548,1552
2561,1520
2574,1535
2584,1585
2583,1661
2581,1779
2563,1908
2533,2045
2463,2182
2349,2285
2191,2385
1991,2454
1764,2496
1562,2509
1511,2494
1499,2455
1499,2412
1503,2349
1526,2296
1575,2228
1635,2168
1733,2082
