2048,2057
2032,1878
2145,1796
2185,1709
2192,1655
2147,1631
2076,1658
1972,1733
1829,1827
1693,1953
1549,2030
1462,2080
1444,2108
1496,2105
1604,2070
1742,2004
1907,1941
2051,1865
2154,1770
2200,1698
2185,1640
2140,1632
2058,1659
1952,1745
1808,1837
1667,1959
1535,2034
1453,2090
1439,2100
1502,2095
1611,2052
1764,1995
1924,1931
2068,1858
2159,1763
2196,1687
2180,1642
2126,1628
2048,1667
1924,1750
1790,1861
1641,1968
1520,2047
1448,2089
1449,2104
1511,2084
1631,2042
1783,1985
1951,1921
2084,1841
2163,1744
2200,1678
2176,1627
2119,1628
2031,1675
1917,1766
1767,1874
1623,1979
1506,2046
1444,2082
1455,2101
1519,2073
1655,2033
1814,1980
1974,1908
2091,1828
2173,1737
2190,1662
2169,1630
2111,1638
2018,1681
1894,1779
1753,1889
1600,1985
1495,2053
1449,2099
1462,2096
1540,2069
1668,2025
1832,1967
1988,1897
2112,1810
2181,1725
2191,1661
2163,1630
2096,1642
2002,1700
1873,1794
1727,1909
1590,2006
1481,2069
1435,2100
1470,2100
1558,2070
1691,2021
1858,1963
2018,1902
2129,1802
2188,1712
2194,1666
2159,1629
2090,1648
1990,1714
1855,1815
1709,1926
1569,2013
1476,2070
1441,2103
1483,2102
1582,2070
1721,2015
1884,1949
2037,1880
2142,1791
2197,1710
2198,1654
2152,1631
2082,1653
1966,1721
1832,1829
1688,1940
1553,2025
1462,2079
1451,2104
1490,2097
1599,2061
1741,2009
1906,1944
2049,1870
2146,1775
2202,1704
2186,1646
2141,1624
2064,1662
1951,1736
1814,1851
1663,1957
1542,2041
1460,2085
1449,2114
1500,2096
1613,2062
1760,1989
1920,1936
2072,1862
2154,1765
2200,1691
2185,1642
2131,1643
2058,1673
1929,1764
1797,1869
1650,1975
1519,2053
1452,2086
1439,2103
1519,2092
1630,2050
1783,1986
1949,1924
2084,1844
2167,1755
2198,1681
2179,1636
2122,1634
2036,1680
1912,1765
1771,1881
1630,1983
1508,2053
1442,2094
1463,2112
1532,2087
1650,2038
1808,1983
1962,1911
2103,1826
2170,1735
2195,1653
2156,1620
2108,1631
2015,1678
1889,1767
1751,1891
1606,1986
1495,2047
1441,2098
1459,2093
1545,2080
