0,1670
3217,2463
3276,2741
2954,2618
2320,2312
1491,1994
764,1836
626,1737
1228,1557
2098,1604
2814,1967
3226,2471
3293,2763
2989,2655
2379,2349
1552,2038
809,1881
638,1773
1197,1581
2061,1613
2789,1947
3214,2449
3293,2752
3013,2652
2410,2345
1588,2029
824,1853
610,1744
1143,1544
2008,1539
2754,1877
3197,2382
3300,2731
3038,2646
2452,2348
1639,2024
863,1842
611,1730
1104,1535
1962,1523
2723,1844
3183,2355
3296,2716
3053,2655
2481,2365
1666,2037
902,1830
598,1718
1052,1518
1908,1487
2678,1793
3148,2310
3285,2696
3067,2661
2509,2374
1711,2032
906,1822
570,1719
996,1518
1853,1469
2640,1766
3135,2287
3306,2694
3090,2668
2544,2412
1756,2070
944,1849
574,1761
969,1579
1817,1515
2611,1804
3121,2298
3302,2705
3116,2703
2591,2441
1808,2097
988,1877
583,1779
937,1573
1766,1492
2572,1760
3103,2259
3300,2685
3131,2699
2617,2440
1853,2094
1020,1860
581,1782
910,1598
1735,1511
2543,1753
3092,2233
3306,2674
3154,2715
2666,2468
1909,2128
1078,1895
616,1798
895,1616
1688,1510
2505,1736
3071,2203
3299,2664
3167,2718
2697,2470
1946,2124
1104,1877
608,1765
843,1582
1629,1471
2465,1675
3039,2145
3289,2626
3184,2712
2725,2475
1985,2151
1145,1889
626,1780
814,1612
1590,1464
2432,1647
3022,2125
3282,2608
3193,2714
2749,2506
2020,2165
1180,1890
624,1758
767,1595
1534,1442
2384,1621
2991,2086
3265,2575
3197,2704
2773,2500
2055,2167
1213,1879
628,1770
733,1616
1491,1443
2341,1606
2964,2069
3263,2563
3211,2722
2796,2533
2099,2211
1253,1925
639,1819
705,1670
1440,1501
2307,1641
2939,2078
3264,2566
3229,2742
2828,2567
2148,2231
1299,1935
657,1823
689,1680
1399,1489
2259,1625
2915,2038
3257,2530
3239,2743
2862,2571
2189,2225
1345,1946
683,1825
685,1684
1362,1513
2223,1604
2896,2010
3253,2513
3255,2755
2896,2600
2243,2260
1403,1968
717,1829
678,1695
1321,1519
2184,1607
2871,1990
3239,2497
3260,2746
2923,2594
2279,2254
1437,1965
741,1800
653,1668
1266,1490
2134,1555
2837,1932
3222,2455
3262,2724
2946,2597
2312,2272
1475,1972
758,1804
628,1678
1214,1505
2092,1533
2806,1907
3203,2429
3270,2724
2972,2606
2350,2299
1515,1979
784,1790
610,1674
1171,1485
2050,1492
2769,1869
3189,2395
3269,2704
2983,2607
2377,2302
1546,1971
799,1790
576,1689
1127,1489
2004,1489
2740,1857
3178,2375
3277,2716
3009,2643
2420,2363
1600,2024
825,1848
580,1747
1093,1546
1964,1521
2704,1875
3174,2379
3290,2718
3035,2664
2462,2368
1651,2031
857,1845
581,1738
1043,1535
1909,1523
2674,1829
3151,2334
3287,2709
3053,2671
2499,2380
1696,2050
898,1864
582,1753
1021,1554
1870,1522
2649,1819
3144,2321
3291,2713
3084,2689
2539,2403
1751,2074
936,1872
589,1762
989,1582
1829,1527
2621,1791
3126,2288
3290,2695
3101,2677
2579,2403
1789,2067
972,1844
592,1735
946,1552
1774,1477
2581,1735
3101,2237
3287,2670
3115,2679
2603,2422
1830,2091
1006,1853
586,1754
904,1565
1730,1472
2547,1713
3080,2216
3286,2656
3137,2690
2639,2446
1870,2091
1046,1837
591,1747
861,1565
1675,1454
2499,1684
3053,2172
3277,2619
3140,2681
2661,2451
1909,2104
1072,1846
578,1747
825,1569
1633,1452
2457,1672
3032,2160
3276,2626
3164,2717
2697,2497
1957,2149
1120,1890
593,1807
803,1633
1594,1491
2427,1688
3017,2159
3278,2618
3182,2724
2734,2506
2007,2159
1160,1889
613,1798
779,1628
1546,1477
2386,1658
2994,2107
3271,2591
3191,2722
2767,2513
2056,2168
1204,1910
629,1810
767,1655
1509,1508
2353,1661
2978,2097
3278,2584
3213,2736
2803,2539
2104,2201
1253,1934
655,1821
745,1668
1462,1518
2312,1638
2949,2058
3257,2555
3217,2724
2820,2533
2135,2199
1286,1909
666,1781
719,1640
1415,1471
2275,1582
2921,2008
3253,2527
3224,2724
2849,2550
2167,2219
1324,1929
678,1792
680,1650
1364,1467
2229,1568
2890,1984
3232,2499
3234,2718
2872,2558
2203,2226
1360,1919
686,1785
