2048,2148
3101,2471
2826,2165
2261,1790
1631,1539
1157,1523
1036,1768
1284,2161
1823,2512
2454,2698
2951,2684
3110,2479
2797,2146
2211,1774
1588,1533
1143,1532
1049,1777
1297,2158
1840,2509
2465,2691
2956,2660
3104,2457
2776,2116
2185,1741
1559,1498
1124,1511
1031,1765
1317,2158
1878,2502
2500,2677
2971,2642
3098,2420
2761,2075
2167,1700
1542,1463
1117,1490
1044,1761
1333,2153
1904,2494
2529,2657
3004,2622
3109,2400
2743,2041
2146,1666
1529,1440
1117,1474
1062,1755
1361,2150
1931,2485
2556,2644
3009,2596
3105,2366
2734,2012
2131,1649
1499,1437
1110,1491
1072,1783
1384,2179
1964,2510
2583,2661
3029,2597
3090,2363
2718,2002
2111,1638
1498,1446
1104,1515
1062,1812
1390,2207
1982,2533
2600,2673
3034,2615
3078,2374
2685,2015
2072,1663
1465,1471
1092,1547
1075,1848
1414,2248
1989,2581
2599,2697
3035,2625
3064,2384
2656,2029
2037,1674
1432,1494
1074,1573
1080,1882
1426,2275
2013,2582
2626,2707
3046,2622
3043,2374
2621,2014
1997,1668
1402,1494
1060,1580
1075,1895
1453,2281
2038,2586
2642,2697
3035,2606
3020,2347
2614,1975
1981,1627
1384,1459
1050,1569
1065,1887
1460,2281
2063,2581
2665,2683
3053,2582
3013,2319
2575,1943
1950,1590
1370,1427
1065,1542
1103,1867
1491,2265
2096,2564
2696,2661
3071,2559
3016,2283
2552,1905
1926,1565
1354,1419
1059,1541
1125,1871
1538,2262
2141,2544
2727,2640
3082,2527
3006,2258
2541,1880
1911,1545
1335,1418
1053,1554
1134,1899
1554,2292
2176,2572
2755,2657
3093,2539
2995,2252
2509,1879
1889,1548
1328,1423
1053,1574
1140,1927
1572,2322
2196,2593
2774,2665
3099,2541
2984,2259
2481,1890
1843,1569
1296,1439
1036,1618
1147,1967
1587,2355
2204,2621
2787,2682
3101,2551
2964,2268
2462,1899
1820,1589
1266,1491
1007,1652
1144,2011
1600,2389
2225,2643
2795,2694
3090,2553
2937,2259
2426,1882
1789,1572
1247,1482
1015,1658
1149,2020
1607,2398
2225,2636
2801,2680
3096,2533
2920,2229
2399,1855
1761,1547
1228,1462
1010,1650
1155,2013
1635,2387
2258,2628
2815,2660
3096,2503
2907,2194
2376,1812
1742,1511
1217,1439
1011,1631
1176,2002
1669,2388
2294,2616
2848,2650
3115,2484
2894,2157
2365,1768
1737,1471
1218,1416
1019,1627
1202,1998
1706,2374
2332,2608
2876,2627
3125,2460
2886,2135
2341,1754
1716,1467
1225,1416
1029,1635
1224,2019
1731,2399
2354,2618
2900,2633
3132,2457
2873,2131
2318,1753
1684,1482
1200,1443
1036,1670
1259,2048
1763,2417
2381,2640
2906,2644
3124,2464
2849,2134
2283,1761
1652,1493
1182,1470
1028,1702
1255,2090
1781,2456
2400,2659
2918,2657
3108,2478
2825,2158
2239,1779
1618,1519
1153,1508
1017,1743
1268,2132
1791,2486
2423,2676
2927,2663
3100,2471
2789,2133
2203,1756
1582,1517
1129,1509
1018,1757
1272,2142
1811,2491
2444,2674
2934,2649
3088,2446
2772,2105
2190,1730
1557,1493
1101,1496
1012,1750
1281,2141
1830,2480
2459,2657
2943,2626
3078,2410
2753,2072
2164,1698
1542,1461
1108,1480
1024,1747
1295,2135
1859,2473
2491,2645
2971,2609
3090,2388
2745,2034
2144,1658
1527,1421
1113,1454
1044,1732
1335,2126
1896,2467
2519,2636
2989,2588
3084,2366
2730,2010
2127,1637
1508,1422
1106,1467
1058,1756
1363,2154
1933,2488
2554,2643
3005,2587
3083,2349
2712,1988
2116,1630
1502,1433
1100,1493
1062,1789
1394,2181
1957,2516
2579,2659
3020,2602
3065,2368
2684,2013
2072,1650
1463,1448
1092,1513
1081,1816
1400,2215
1978,2532
2587,2669
3021,2608
3056,2373
2657,2020
2040,1678
1430,1484
1062,1555
1057,1860
1420,2249
1999,2570
2614,2696
3029,2621
3039,2372
2622,2011
2001,1660
1386,1474
1052,1560
1065,1869
1427,2262
2027,2570
2620,2686
3019,2605
3017,2350
2594,1976
1972,1622
1378,1454
1040,1549
1065,1871
1441,2270
2040,2561
2649,2670
3034,2572
2999,2308
2565,1938
1945,1589
1367,1428
1043,1535
1079,1861
1465,2257
2071,2552
2676,2652
3060,2553
3016,2282
2562,1908
1934,1561
1335,1412
1037,1531
1101,1859
1503,2248
2108,2535
2703,2633
3071,2525
2999,2251
2543,1877
1910,1535
1339,1403
1053,1538
1111,1873
1527,2278
2140,2563
2731,2647
3082,2533
3001,2251
2526,1875
1896,1541
1327,1416
1044,1558
1125,1903
1548,2301
2160,2574
2755,2651
3092,2536
2983,2256
2497,1877
1864,1556
1300,1444
1040,1598
1138,1953
1570,2344
2184,2614
2757,2680
3086,2547
2967,2256
2479,1882
1859,1572
1277,1464
1021,1626
1134,1981
1585,2370
2203,2630
2774,2686
3080,2552
2935,2263
2427,1887
1798,1575
1264,1475
1025,1655
1146,2008
1602,2387
2220,2632
2788,2678
3085,2524
2916,2225
2400,1842
1762,1529
1229,1447
1013,1627
1154,1989
1629,2380
2249,2620
2799,2664
3086,2510
2904,2204
2381,1820
1746,1520
1220,1437
1012,1626
1172,1988
1654,2358
2279,2600
2840,2639
3099,2480
2893,2159
2362,1773
1727,1477
1213,1418
1017,1616
1190,1990
1689,2366
2319,2600
2857,2627
3101,2457
2870,2139
2336,1762
1707,1461
1202,1412
1022,1630
1213,2004
1721,2381
2349,2605
2886,2624
3124,2449
2874,2128
2314,1750
1673,1475
1188,1443
1019,1664
1234,2041
1744,2413
2371,2629
2900,2639
3127,2460
2856,2134
2289,1756
1659,1488
1164,1460
1021,1695
1242,2068
1763,2442
2392,2643
2909,2648
3112,2467
2832,2147
2261,1777
1628,1517
1152,1498
1007,1738
1241,2121
1779,2477
2406,2674
2932,2661
3106,2470
2804,2142
2224,1769
1593,1511
1133,1507
1010,1743
1254,2129
1786,2479
2421,2668
2925,2648
3093,2438
2794,2103
2209,1734
1569,1484
1118,1487
1007,1741
1260,2129
1814,2479
2442,2658
2935,2636
3088,2423
2762,2074
2180,1690
1560,1452
1122,1465
1019,1731
1292,2117
1845,2462
2470,2642
2960,2609
3085,2391
2751,2038
2160,1660
1535,1430
1110,1453
1045,1727
1331,2118
1883,2461
2506,2627
2977,2588
3085,2361
2737,2007
2135,1635
1518,1413
1106,1450
1049,1736
1350,2133
1919,2473
2533,2642
2993,2597
3074,2364
2721,2008
2121,1641
1503,1429
1104,1484
1060,1769
1367,2166
1945,2496
2565,2649
3002,2594
3071,2364
2686,2012
2071,1649
1471,1450
1090,1507
1060,1806
1386,2206
1962,2531
2583,2674
3017,2609
3059,2372
2667,2020
2050,1674
1442,1482
1055,1542
1049,1848
1396,2242
1979,2559
2598,2688
3021,2615
3039,2373
2628,2012
2013,1664
1406,1485
1053,1564
1058,1874
1416,2263
2001,2563
2611,2688
3021,2604
3022,2353
2602,1988
1978,1636
1385,1458
1040,1547
1058,1859
1429,2250
2033,2553
2644,2660
3031,2570
3012,2317
2583,1946
1958,1597
1371,1428
1038,1534
1072,1854
1453,2245
2053,2545
2666,2649
3057,2555
3031,2283
2582,1903
1942,1560
1354,1411
1040,1517
1092,1844
1487,2239
2093,2531
2691,2631
3063,2528
3010,2257
2553,1881
1930,1538
1354,1392
1045,1519
1105,1861
1516,2259
2127,2550
2721,2643
3076,2532
3003,2253
2542,1876
1908,1544
1342,1407
1050,1550
1126,1894
1532,2287
2148,2565
2744,2649
3084,2533
2991,2257
2507,1881
1876,1558
1308,1439
1038,1588
1129,1936
1565,2324
2169,2609
2746,2677
3081,2546
2966,2262
2475,1889
1842,1575
1285,1463
1021,1619
1128,1973
1572,2358
2189,2618
2768,2685
3085,2557
2931,2270
2431,1899
1804,1581
1256,1482
1018,1642
1135,1998
1587,2375
2206,2630
2779,2681
3082,2536
2926,2236
2415,1859
1767,1549
1231,1449
