2048,2415
2257,2183
1501,1976
1068,1827
1207,1853
1828,2044
2596,2264
3094,2382
2943,2349
2259,2184
1495,1969
1074,1814
1204,1839
1834,2035
2606,2264
3095,2381
2946,2341
2269,2179
1499,1953
1069,1802
1209,1835
1846,2030
2618,2250
3106,2367
2935,2327
2233,2159
1480,1940
1071,1791
1221,1822
1872,2023
2643,2248
3105,2358
2922,2321
2233,2153
1474,1936
1073,1795
1228,1825
1869,2026
2639,2253
3114,2358
2926,2312
2229,2143
1476,1932
1064,1793
1234,1837
1881,2030
2646,2248
3113,2357
2911,2312
2210,2148
1453,1934
1065,1793
1235,1835
1892,2037
2657,2265
3106,2370
2895,2322
2194,2152
1442,1945
1059,1808
1239,1845
1894,2050
2662,2270
3112,2368
2891,2323
2186,2159
1433,1945
1047,1819
1222,1864
1901,2061
2669,2282
3115,2381
2891,2323
2168,2155
1419,1943
1047,1807
1247,1853
1917,2068
2671,2287
3104,2385
2863,2330
2151,2152
1411,1940
1050,1803
1247,1851
1914,2061
2678,2278
3112,2370
2860,2334
2137,2150
1399,1936
1060,1808
1266,1859
1933,2057
2690,2278
3117,2366
2858,2308
2136,2129
1393,1913
1047,1790
1267,1848
1946,2064
2707,2278
3134,2366
2867,2303
2127,2114
1381,1903
1046,1777
1278,1833
1959,2043
2717,2264
3121,2355
2863,2299
2114,2122
1374,1909
1056,1781
1299,1841
1949,2044
2724,2263
3132,2354
2842,2287
2112,2107
1376,1903
1046,1782
1290,1846
1983,2061
2732,2271
3131,2352
2835,2290
2098,2101
1359,1889
1045,1779
1298,1842
1991,2063
2740,2281
3126,2365
2819,2300
2078,2117
1348,1899
1043,1785
1308,1859
1989,2077
2732,2286
3124,2366
2809,2305
2069,2124
1339,1919
1034,1800
1305,1866
2008,2084
2757,2288
3131,2370
2801,2299
2048,2122
1317,1913
1027,1804
1310,1877
2015,2101
2755,2304
3125,2374
2785,2298
2045,2108
1326,1895
1033,1787
1318,1873
2011,2097
2750,2306
3120,2372
2781,2304
2031,2114
1312,1899
1044,1791
1322,1871
2036,2081
2769,2288
3130,2363
2782,2292
2019,2105
1304,1893
1030,1781
1344,1866
2045,2085
2786,2285
3137,2349
2767,2272
2010,2083
1304,1873
1032,1776
1343,1861
2056,2084
2786,2284
3140,2345
2770,2263
2020,2078
1303,1868
1037,1766
1354,1853
2074,2077
2804,2286
3137,2357
2751,2276
1992,2083
1288,1869
1043,1763
1371,1847
2098,2074
2814,2278
3135,2351
2741,2273
1982,2083
1280,1876
1037,1780
1367,1869
2097,2090
2820,2291
3127,2352
2718,2263
1965,2078
1273,1877
1040,1787
1371,1880
2103,2110
2823,2310
3126,2366
2716,2276
1954,2083
1266,1872
1036,1782
1366,1887
2107,2121
2833,2321
3126,2375
2709,2287
1940,2088
1253,1882
1036,1791
1387,1888
2121,2113
2839,2306
3115,2362
2686,2282
1918,2088
1245,1894
1032,1794
1389,1902
2121,2118
2837,2309
3119,2364
2692,2273
1924,2072
1244,1872
1035,1794
1389,1894
2134,2124
2845,2317
3112,2360
2683,2267
1913,2066
1241,1860
1046,1776
1410,1880
2150,2122
2861,2308
3114,2356
2668,2260
1894,2061
1240,1848
1054,1771
1422,1879
2162,2103
2869,2292
3119,2338
2667,2249
1896,2052
1228,1852
1046,1776
1426,1885
2176,2103
2887,2289
3133,2342
2668,2243
1889,2038
1225,1839
1053,1768
1440,1886
2184,2120
2883,2308
3108,2351
2653,2244
1875,2035
1225,1831
1065,1771
1448,1883
2193,2118
2886,2308
3100,2352
2639,2250
1858,2049
1201,1854
1050,1778
1452,1897
2204,2130
2897,2311
3105,2356
2622,2257
1842,2055
1197,1859
1049,1790
1456,1918
2209,2149
2911,2323
3101,2354
2620,2252
1842,2043
1199,1850
1055,1794
1455,1927
2200,2153
2899,2324
3092,2365
2608,2257
1828,2042
1188,1848
1049,1787
1472,1907
2226,2142
2907,2326
3078,2370
2592,2258
1811,2046
1181,1855
1054,1793
1481,1907
2244,2141
2920,2320
3086,2349
2585,2235
1799,2030
1170,1849
1055,1786
1503,1911
2263,2146
2929,2310
3085,2342
2579,2226
1797,2021
1172,1826
1067,1769
1506,1903
2265,2135
2929,2316
3080,2340
2578,2225
1805,2020
1176,1814
1071,1767
1517,1904
2281,2140
2945,2309
3082,2335
2562,2228
1774,2019
1160,1824
1072,1782
1534,1915
2308,2138
2958,2304
3079,2333
2552,2218
1767,2005
1162,1824
1074,1785
1534,1922
2298,2146
2951,2324
3075,2345
2541,2217
1753,2009
1156,1819
1072,1785
1543,1920
2304,2154
2952,2336
3063,2349
2524,2226
1742,2028
1145,1839
1079,1791
1557,1934
2321,2170
2964,2337
3049,2345
2503,2226
1732,2027
1139,1841
1078,1796
1558,1948
2328,2180
2968,2334
3060,2347
2507,2218
1724,2013
1129,1836
1060,1789
1547,1946
2328,2185
2969,2334
3051,2355
2497,2226
1711,2014
1131,1829
1086,1791
1573,1941
2343,2169
2972,2334
3035,2351
2469,2218
1702,1998
1142,1818
1087,1784
1587,1929
2358,2163
2986,2320
3045,2334
2475,2199
1690,1990
1122,1821
1086,1785
1597,1929
2373,2171
2991,2325
3044,2325
2467,2193
1682,1978
1119,1803
1099,1775
1604,1932
2377,2178
2989,2330
3039,2323
2466,2193
1695,1981
1134,1805
1103,1775
1616,1936
2391,2174
2998,2319
3031,2331
2446,2206
1659,1990
1120,1808
1121,1790
1642,1941
2408,2172
3006,2320
3025,2327
2431,2192
1647,1975
1103,1830
1104,1797
1637,1956
2410,2187
3017,2348
3026,2341
2428,2202
1640,1990
1101,1814
1108,1800
1641,1961
2419,2200
3012,2356
3017,2342
2412,2204
1626,1992
1100,1817
1113,1807
1652,1960
2434,2193
3003,2345
3007,2338
2400,2196
1619,1991
1090,1816
1111,1808
1658,1981
2435,2208
3020,2350
3007,2340
2391,2194
1594,1979
1065,1813
1110,1802
1672,1971
2447,2194
3018,2334
3002,2333
2383,2183
1601,1968
1084,1799
1119,1793
1679,1964
2451,2202
3012,2341
2999,2331
2375,2180
1594,1970
1088,1798
1131,1791
1699,1962
2474,2192
3029,2324
2989,2315
2362,2165
1578,1953
1086,1782
1140,1781
1719,1970
2485,2205
3042,2336
2989,2323
2355,2173
1578,1958
1083,1793
1142,1793
1717,1972
2492,2201
3047,2324
2995,2304
2357,2168
1571,1952
1078,1781
1143,1797
1724,1970
2500,2208
3047,2337
2975,2325
2328,2172
1554,1957
1072,1794
1156,1804
1752,1986
2515,2219
3048,2346
2964,2328
2315,2171
1541,1957
1055,1809
1151,1811
1741,1990
2517,2220
3062,2350
2967,2324
2316,2177
1533,1966
1066,1802
1152,1820
1755,2000
2530,2231
3062,2354
2956,2328
2294,2167
1522,1955
1064,1797
1147,1815
1755,2002
2529,2232
3050,2361
2949,2323
2285,2167
1509,1952
1060,1795
1165,1811
1770,1998
2547,2225
3063,2344
2933,2317
2256,2162
1497,1949
1060,1790
1174,1810
1788,1993
2560,2223
3069,2341
2954,2311
2263,2144
1492,1931
1054,1782
1168,1808
1790,1992
2572,2223
3076,2337
2936,2304
2254,2140
1485,1925
1057,1783
1186,1804
1810,1997
2582,2220
3076,2338
2927,2302
2246,2140
1488,1929
1072,1780
1198,1806
1823,2004
2593,2230
3082,2344
2924,2301
2233,2142
1470,1927
1056,1774
1194,1809
1827,2006
2605,2231
3100,2345
2923,2298
2219,2137
1454,1928
1048,1791
1193,1825
1839,2022
2606,2246
3084,2353
2910,2316
2208,2141
1448,1928
1047,1790
1213,1833
1845,2031
2611,2253
3088,2358
2891,2313
2198,2145
1438,1933
1043,1798
1216,1844
1860,2029
2622,2253
3091,2361
2895,2317
2177,2146
1429,1924
1040,1788
1212,1829
1865,2026
2628,2250
3080,2349
2883,2300
2177,2133
1423,1917
1034,1790
1215,1842
1869,2039
2635,2253
3090,2355
2875,2302
2167,2127
1412,1915
1038,1780
1226,1824
1884,2030
2652,2248
3103,2342
2869,2295
2147,2121
1390,1899
1037,1766
1240,1816
1902,2023
2662,2244
3100,2334
2861,2289
2149,2115
1403,1901
1040,1783
1244,1831
1907,2035
2659,2250
3104,2344
2861,2287
2141,2112
1396,1893
1039,1775
1251,1823
1924,2030
2685,2249
3108,2341
2854,2290
2141,2108
1389,1900
1038,1772
1254,1837
1932,2048
2691,2262
3092,2350
2837,2290
2111,2110
1371,1898
1031,1776
1257,1842
1958,2046
2713,2258
3111,2346
2826,2294
2099,2121
1361,1909
1034,1791
1268,1854
1954,2065
2706,2279
3100,2366
2825,2304
2097,2118
1370,1910
1033,1780
1270,1849
1963,2059
2717,2269
3105,2351
2809,2287
2077,2107
1343,1899
1033,1783
1277,1852
1971,2065
2721,2276
3105,2356
2796,2295
2066,2114
1340,1898
1027,1777
1287,1848
1981,2062
2729,2273
3113,2343
2797,2278
2059,2092
1331,1877
1024,1767
1280,1846
2013,2062
2745,2274
3116,2353
2793,2282
2046,2093
1325,1881
1031,1773
1307,1844
2010,2056
2753,2268
3108,2343
2769,2267
2032,2076
1320,1865
1027,1760
1313,1839
2015,2058
2761,2269
3130,2345
2782,2271
2034,2089
1315,1879
1024,1773
1305,1853
2023,2068
2770,2273
3124,2347
2767,2268
2016,2080
1307,1874
1041,1767
1329,1851
2040,2073
2777,2276
3119,2352
2752,2269
2009,2080
