2048,943
2932,1914
3007,1961
3030,1997
3035,2027
2985,2056
2914,2083
2824,2112
2709,2145
2578,2183
2423,2228
2269,2272
2108,2307
1944,2333
1783,2350
1623,2363
1471,2367
1342,2364
1222,2359
1123,2348
1039,2341
974,2323
941,2297
939,2264
960,2228
1002,2192
1062,2147
1140,2103
1241,2061
1364,2013
1505,1972
1650,1931
1803,1899
1953,1861
2115,1830
2278,1812
2430,1803
2569,1812
2695,1830
2804,1858
2900,1896
2969,1930
3010,1966
3031,1998
3016,2028
2959,2043
2880,2066
2795,2094
2671,2131
2527,2173
2376,2213
2233,2248
2058,2280
1898,2304
1737,2320
1580,2326
1435,2328
1304,2322
1193,2314
1102,2299
1035,2292
983,2276
954,2251
950,2219
980,2184
1028,2145
1093,2100
1180,2057
1285,2009
1417,1970
1553,1929
1711,1894
1871,1865
2017,1831
2179,1807
2329,1793
2479,1789
2615,1804
2735,1830
2835,1855
2924,1896
2981,1933
3021,1972
3035,2009
2996,2049
2927,2069
2837,2094
2744,2126
2617,2163
2475,2201
2321,2247
2163,2280
1997,2312
1837,2336
1673,2349
1519,2359
1377,2360
1254,2354
1148,2343
1060,2324
993,2308
956,2287
937,2263
938,2232
974,2198
1030,2155
1101,2114
1195,2069
1318,2018
1457,1971
1589,1927
1738,1889
1892,1862
2054,1834
2216,1814
2368,1805
2509,1806
2645,1821
2765,1842
2868,1871
2949,1903
3007,1936
3026,1966
3027,2003
2978,2030
2913,2060
2823,2078
2710,2112
2578,2147
2432,2184
2277,2221
2116,2250
1955,2282
1793,2307
1624,2314
1473,2326
1345,2327
1223,2317
1125,2305
1041,2288
986,2272
956,2246
927,2220
961,2188
1002,2153
1057,2122
1124,2067
1221,2028
1358,1979
1496,1931
1644,1894
1799,1850
1953,1824
2112,1803
2268,1791
2418,1791
2555,1796
2684,1822
2794,1845
2880,1871
2953,1906
3006,1942
3026,1973
3013,2007
2954,2039
2880,2075
2785,2106
2664,2142
2527,2183
2375,2224
2218,2254
2067,2280
1909,2308
1745,2333
1583,2346
1433,2352
1300,2354
1185,2343
1090,2332
1015,2312
968,2288
940,2262
930,2231
960,2196
1015,2162
1081,2130
1154,2087
1257,2042
1379,2001
1523,1952
1677,1909
1828,1873
1985,1840
2145,1810
2304,1798
2453,1798
2593,1811
2716,1836
2813,1856
2902,1887
2970,1917
3011,1948
3030,1981
3000,2007
2939,2035
2862,2065
2758,2101
2618,2132
2471,2176
2325,2216
2177,2243
2017,2266
1855,2284
1697,2301
1545,2312
1401,2312
1274,2313
1155,2306
1066,2291
1000,2277
953,2260
946,2236
946,2204
978,2164
1032,2128
1100,2088
1194,2043
1306,1999
1432,1957
1573,1913
1723,1871
1881,1837
2061,1803
2213,1786
2368,1773
2504,1771
2634,1793
2749,1823
2849,1859
2928,1895
2980,1929
3012,1955
3026,1994
2982,2022
2914,2054
2834,2087
2733,2120
2591,2157
2438,2198
2283,2240
2122,2271
1957,2300
1796,2321
1638,2336
1492,2344
1352,2350
1230,2344
1129,2332
1036,2321
975,2307
940,2277
929,2250
940,2216
983,2178
1038,2135
1113,2096
1213,2050
1334,2004
1468,1963
1613,1922
1762,1884
1907,1850
2062,1821
2234,1806
2390,1787
2535,1799
2665,1814
2778,1840
2874,1874
2947,1907
2994,1941
3016,1975
3010,2003
2955,2021
2880,2046
2792,2078
2679,2110
2546,2152
2394,2191
2236,2228
2079,2258
1913,2281
1750,2300
1593,2312
1446,2312
1306,2311
1202,2299
1114,2293
1035,2281
